,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Connor McDavid,29,EDM,C,81,48,86,134,15,42,34,13,1,4,46,39,1,303,15.8,502,1867:11,23:03,448,465,49.1,30,40,31,133,,mcdavco01
2,Nikita Kucherov,32,TBL,RW,75,44,86,130,44,50,35,8,1,8,57,29,0,230,19.1,528,1524:34,20:20,0,2,0.0,28,36,21,121,,kucheni01
3,Nathan MacKinnon,30,COL,C,79,52,74,126,55,39,41,11,0,7,55,19,0,346,15.0,591,1759:49,22:17,676,645,51.2,35,64,23,163,,mackina01
4,Macklin Celebrini,19,SJS,F,80,44,68,112,9,44,36,8,0,5,44,24,0,281,15.7,532,1714:19,21:26,614,647,48.7,52,53,40,145,,celebma01
5,Mark Scheifele,32,WPG,C,80,35,66,101,3,43,28,7,0,6,51,14,1,173,20.2,324,1723:32,21:33,582,665,46.7,46,32,30,124,,scheima01
6,Nick Suzuki,26,MTL,C,81,29,72,101,37,28,17,11,1,2,40,32,0,182,15.9,381,1684:23,20:48,716,710,50.2,62,62,28,72,,suzukni01
7,Martin Nečas,27,COL,C,77,38,61,99,45,30,29,9,0,5,46,15,0,200,19.0,409,1654:19,21:29,9,12,42.9,26,84,23,122,,necasma01
8,David Pastrňák,29,BOS,RW,76,29,70,99,3,72,19,10,0,4,47,23,0,258,11.2,559,1573:21,20:42,2,7,22.2,30,86,32,132,,pastrda01
9,Leon Draisaitl,30,EDM,C,65,35,62,97,13,26,18,16,1,3,36,26,0,186,18.8,369,1402:23,21:35,628,475,56.9,15,34,26,106,,draisle01
10,Jason Robertson,26,DAL,LW,81,45,51,96,23,32,30,15,0,9,25,26,0,293,15.4,547,1643:19,20:17,1,2,33.3,34,48,24,107,,roberja01
11,Evan Bouchard,26,EDM,D,81,21,71,92,22,30,14,7,0,5,43,26,2,219,9.6,463,2001:43,24:43,0,0,,100,29,33,122,,bouchev01
12,Kyle Connor,29,WPG,LW,80,38,52,90,1,16,32,4,2,5,37,14,1,261,14.6,478,1724:21,21:33,0,1,0.0,17,34,21,68,,connoky01
13,Kirill Kaprizov,28,MIN,LW,78,45,44,89,10,28,26,19,0,7,31,13,0,268,16.8,534,1727:27,22:09,0,2,0.0,27,52,22,112,,kapriki01
14,Cole Caufield,25,MTL,RW,80,51,37,88,30,14,40,11,0,12,19,18,0,248,20.6,447,1451:31,18:09,6,12,33.3,21,49,22,55,,caufico01
15,Jack Eichel,29,VEG,C,73,27,61,88,20,18,25,1,1,6,32,27,2,256,10.5,462,1549:07,21:13,553,608,47.6,40,35,28,119,,eicheja01
16,Jake Guentzel,31,TBL,C,81,38,50,88,13,61,28,8,2,5,28,22,0,220,17.3,385,1639:55,20:15,209,228,47.8,41,39,23,73,,guentja01
17,Wyatt Johnston,22,DAL,C,81,45,41,86,-4,32,18,27,0,4,26,15,0,206,21.8,400,1631:56,20:09,401,440,47.7,55,55,22,62,,johnswy01
18,Matt Boldy,24,MIN,LW,76,42,43,85,18,30,27,11,4,3,24,19,0,254,16.5,501,1563:15,20:34,55,69,44.4,58,60,34,86,,boldyma01
19,Clayton Keller,27,UTA,C,80,26,59,85,22,38,23,3,0,6,36,23,0,222,11.7,417,1523:46,19:03,13,21,38.2,32,8,26,102,,kellecl01
20,Alex DeBrincat,28,DET,RW,81,41,43,84,9,19,26,15,0,6,35,8,0,286,14.3,575,1498:23,18:30,19,31,38.0,39,38,43,86,,debrial01
21,Tim Stützle,24,OTT,LW,80,34,49,83,7,39,23,9,2,5,29,20,0,194,17.5,364,1621:24,20:16,338,300,53.0,44,126,34,92,,stuetti02
22,Artemi Panarin,34,2TM,LW,76,28,55,83,-7,20,24,4,0,4,36,19,0,221,12.7,502,1582:15,20:49,1,0,100.0,16,11,25,102,,panarar01
22,Artemi Panarin,34,NYR,LW,52,19,38,57,-16,14,17,2,0,3,23,15,0,158,12.0,361,1087:20,20:55,1,0,100.0,11,8,15,69,,panarar01
22,Artemi Panarin,34,LAK,LW,24,9,17,26,9,6,7,2,0,1,13,4,0,63,14.3,141,494:55,20:37,0,0,,5,3,10,33,,panarar01
23,Tage Thompson,28,BUF,C,81,40,41,81,-6,35,34,6,0,5,22,18,1,272,14.7,557,1558:44,19:15,390,468,45.5,48,85,28,69,,thompta01
24,Zach Werenski,28,CBJ,D,74,22,59,81,8,18,18,4,0,2,41,17,1,257,8.6,584,1970:05,26:37,0,0,,92,30,34,124,,werenza01
25,Sebastian Aho,28,CAR,F,79,27,53,80,11,46,18,7,2,4,29,20,4,195,13.8,406,1549:23,19:37,596,585,50.5,23,63,31,109,,ahose01
26,Mitch Marner,28,VEG,RW,80,23,56,79,16,24,18,5,0,1,36,19,1,163,14.1,365,1599:43,20:00,149,220,40.4,46,24,40,103,,marnemi01
27,Lane Hutson,21,MTL,D,81,12,66,78,37,34,10,2,0,3,48,18,0,124,9.7,297,1923:11,23:45,0,0,,134,31,42,92,,hutsola01
28,William Nylander,29,TOR,C,64,29,49,78,-14,16,22,7,0,4,34,15,0,153,19.0,302,1241:33,19:24,30,48,38.5,26,12,31,67,,nylanwi01
