variable,mean,median,10%,90%,feature,type,player_id,player_name,last_name,first_name,handed,birth_date,position_group,primary_position
beta[1],7.800668737572707,7.805399818315857,7.057994138744975,8.551783860180736,n_pp_skaters,Non-Player,Non-Player,NA,NA,NA,NA,NA,NA,NA
beta[2],-9.133508218373354,-9.135672135362135,-10.070962547473938,-8.18361830234137,n_pk_skaters,Non-Player,Non-Player,NA,NA,NA,NA,NA,NA,NA
beta[3],0.20344051586882528,0.21562234120987844,-1.3596262880743066,1.754544263374836,f7d87866-fb2a-6a94-5317-d30145102fef_PP,PP,f7d87866-fb2a-6a94-5317-d30145102fef,"Meyer, Carson",Meyer,Carson,R,1997-08-18,F,RW
beta[4],0.007994368092813885,0.004121288371346217,-1.4450579022494185,1.4930423316123536,24d2bb10-73c1-950e-69b2-8ed8ea9fc132_PK,PK,24d2bb10-73c1-950e-69b2-8ed8ea9fc132,"Cossa, Sebastian",Cossa,Sebastian,L,2002-11-21,G,G
beta[5],0.7362530484691632,0.7375507192261952,-0.8027850590729928,2.267760601958954,cf9158fc-30e9-680c-b9e5-b65717e1e000_PK,PK,cf9158fc-30e9-680c-b9e5-b65717e1e000,"Czarnik, Austin",Czarnik,Austin,R,1992-12-12,F,C
beta[6],0.1710475586610137,0.18076470926445104,-1.3181858546843812,1.6624054053552382,e9ef1506-4a97-1586-e7b4-a1dfbec02e4e_PP,PP,e9ef1506-4a97-1586-e7b4-a1dfbec02e4e,"Fix-Wolansky, Trey",Fix-Wolansky,Trey,R,1999-05-26,F,RW
beta[7],1.7277259664517797,1.7241935245264204,0.28544729684701714,3.1726388185340246,6eb5f6c3-b657-5df9-6027-43ce18a2cca6_PP,PP,6eb5f6c3-b657-5df9-6027-43ce18a2cca6,"Greaves, Jet",Greaves,Jet,L,2001-03-30,G,G
beta[8],-0.25346142431404944,-0.24717847693482808,-1.6780357202838012,1.1664322337707287,8682f8c1-304a-51d9-6663-158ca58fa6c9_PK,PK,8682f8c1-304a-51d9-6663-158ca58fa6c9,"Didier, Josiah",Didier,Josiah,R,1993-04-08,D,D
beta[9],0.40079703796904215,0.38824674028695094,-1.2001170943354065,2.0101854853268653,c9060c85-0600-ed69-de2d-6aa7611fc7bc_PP,PP,c9060c85-0600-ed69-de2d-6aa7611fc7bc,"Gaunce, Brendan",Gaunce,Brendan,L,1994-03-25,F,C
beta[10],0.06684704153257356,0.0781697889386074,-1.4757110694470161,1.5781918564204136,a434fff2-8e1b-5bc6-1759-b545496778b5_PK,PK,a434fff2-8e1b-5bc6-1759-b545496778b5,"Edvinsson, Simon",Edvinsson,Simon,L,2003-02-05,D,D
